module	tier	status	value_model	apqc	models	routes	priority
auth_password_policy	baseline	todo	support	8.0	0	0	0
auth_password_policy_portal	baseline	todo	support	8.0	0	0	0
auth_password_policy_signup	baseline	todo	support	8.0	0	0	0
auth_totp_portal	baseline	todo	support	8.0	0	0	0
barcodes_gs1_nomenclature	baseline	todo	chain	4.0	0	0	0
base_iban	baseline	todo	support	8.0	0	0	0
calendar_sms	baseline	todo	support	13.0	0	0	0
cloud_storage_azure	baseline	todo	support	13.0	0	0	0
cloud_storage_google	baseline	todo	support	13.0	0	0	0
contacts	baseline	todo	support	13.0	0	0	0
crm_iap_enrich	baseline	todo	shop	3.0	0	0	0
crm_livechat	baseline	todo	shop	3.0	0	0	0
crm_sms	baseline	todo	shop	3.0	0	0	0
delivery_mondialrelay	baseline	todo	chain	4.4	0	0	0
delivery_stock_picking_batch	baseline	todo	chain	4.4	0	0	0
event_crm_sale	baseline	todo	network	3.0	0	0	0
event_product	baseline	todo	network	3.0	0	0	0
event_sms	baseline	todo	network	3.0	0	0	0
gamification_sale_crm	baseline	todo	support	7.0	0	0	0
google_recaptcha	baseline	todo	support	13.0	0	0	0
hr_calendar	baseline	todo	support	7.0	0	0	0
hr_fleet	baseline	todo	support	7.0	0	0	0
hr_gamification	baseline	todo	support	7.0	0	0	0
hr_holidays_homeworking	baseline	todo	support	7.0	0	0	0
hr_hourly_cost	baseline	todo	support	7.0	0	0	0
hr_livechat	baseline	todo	support	7.0	0	0	0
hr_maintenance	baseline	todo	support	7.0	0	0	0
hr_presence	baseline	todo	support	7.0	0	0	0
hr_recruitment_sms	baseline	todo	support	7.0	0	0	0
hr_recruitment_survey	baseline	todo	support	7.0	0	0	0
hr_skills_event	baseline	todo	support	7.0	0	0	0
hr_skills_slides	baseline	todo	support	7.0	0	0	0
hr_skills_survey	baseline	todo	support	7.0	0	0	0
hr_work_entry_holidays	baseline	todo	support	7.0	0	0	0
html_builder	baseline	todo	support	13.0	0	0	0
iap_crm	baseline	todo	support	8.0	0	0	0
iot_base	baseline	todo	support	13.0	0	0	0
iot_box_image	baseline	todo	support	13.0	0	0	0
l10n_account_edi_ubl_cii_tests	baseline	todo	support	9.0	0	0	0
l10n_account_withholding_tax_pos	baseline	todo	support	9.0	0	0	0
l10n_ae	baseline	todo	support	9.0	0	0	0
l10n_ae_pos	baseline	todo	support	9.0	0	0	0
l10n_ar_stock	baseline	todo	support	9.0	0	0	0
l10n_ar_website_sale	baseline	todo	support	9.0	0	0	0
l10n_at	baseline	todo	support	9.0	0	0	0
l10n_au	baseline	todo	support	9.0	0	0	0
l10n_bd	baseline	todo	support	9.0	0	0	0
l10n_be	baseline	todo	support	9.0	0	0	0
l10n_be_pos_restaurant	baseline	todo	support	9.0	0	0	0
l10n_be_pos_sale	baseline	todo	support	9.0	0	0	0
l10n_bf	baseline	todo	support	9.0	0	0	0
l10n_bg	baseline	todo	support	9.0	0	0	0
l10n_bg_ledger	baseline	todo	support	9.0	0	0	0
l10n_bh	baseline	todo	support	9.0	0	0	0
l10n_bj	baseline	todo	support	9.0	0	0	0
l10n_bo	baseline	todo	support	9.0	0	0	0
l10n_br_sales	baseline	todo	support	9.0	0	0	0
l10n_br_website_sale	baseline	todo	support	9.0	0	0	0
l10n_ca	baseline	todo	support	9.0	0	0	0
l10n_cd	baseline	todo	support	9.0	0	0	0
l10n_cf	baseline	todo	support	9.0	0	0	0
l10n_cg	baseline	todo	support	9.0	0	0	0
l10n_ch_pos	baseline	todo	support	9.0	0	0	0
l10n_ci	baseline	todo	support	9.0	0	0	0
l10n_cl	baseline	todo	support	9.0	0	0	0
l10n_cm	baseline	todo	support	9.0	0	0	0
l10n_cn	baseline	todo	support	9.0	0	0	0
l10n_cn_city	baseline	todo	support	9.0	0	0	0
l10n_co	baseline	todo	support	9.0	0	0	0
l10n_co_pos	baseline	todo	support	9.0	0	0	0
l10n_cr	baseline	todo	support	9.0	0	0	0
l10n_cy	baseline	todo	support	9.0	0	0	0
l10n_de	baseline	todo	support	9.0	0	0	0
l10n_din5008	baseline	todo	support	9.0	0	0	0
l10n_din5008_expense	baseline	todo	support	9.0	0	0	0
l10n_din5008_purchase	baseline	todo	support	9.0	0	0	0
l10n_din5008_repair	baseline	todo	support	9.0	0	0	0
l10n_din5008_sale	baseline	todo	support	9.0	0	0	0
l10n_din5008_stock	baseline	todo	support	9.0	0	0	0
l10n_dk_fik	baseline	todo	support	9.0	0	0	0
l10n_do	baseline	todo	support	9.0	0	0	0
l10n_dz	baseline	todo	support	9.0	0	0	0
l10n_ec_sale	baseline	todo	support	9.0	0	0	0
l10n_ec_stock	baseline	todo	support	9.0	0	0	0
l10n_ee	baseline	todo	support	9.0	0	0	0
l10n_eg	baseline	todo	support	9.0	0	0	0
l10n_es	baseline	todo	support	9.0	0	0	0
